folder	key	title	score	year	developer	source
gb	wizards warriors x fortress of fear	Wizards & Warriors X: Fortress of Fear	67	1990	Rare Limited	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	star trek the next generation	Star Trek: The Next Generation	67	1993	Absolute Entertainment, Inc.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	we re back a dinosaur s story	We're Back!: A Dinosaur's Story	67	1993	Beam Software Pty., Ltd.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	marble madness	Marble Madness	67	1991	Atari, Inc.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	the pagemaster	The Pagemaster	67	1994	Probe Software Ltd.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	amazing penguin	Amazing Penguin	67	1990	Natsume Co., Ltd.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	pinball deluxe	Pinball Deluxe	67	1995		https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	balloon kid	Balloon Kid	67	1990	Nintendo R&D1	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	tom jerry	Tom & Jerry	67	1992	Beam Software Pty., Ltd.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:3/
gb	disney s toy story	Disney's Toy Story	67	1996	Traveller's Tales (UK) Ltd.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	nigel mansell s world championship racing	Nigel Mansell's World Championship Racing	67	1993	Gremlin Graphics Software Limited	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	zool	Zool	67	1993	Gremlin Interactive Limited	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	radar mission	Radar Mission	68	1990	Nintendo R&D1	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	side pocket	Side Pocket	68	1990	Data East Corporation	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	max	Max	68	1992	A Wave, Inc.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	wwf superstars 2	WWF Superstars 2	68	1992	Sculptured Software, Inc.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	castlevania the adventure	Castlevania: The Adventure	68	1989	Konami Industry Co. Ltd.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	tail gator	Tail'Gator	68	1991	Natsume Co., Ltd.	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
gb	the lawnmower man	The Lawnmower Man	68	1993	Sales Curve Ltd., The	https://www.mobygames.com/game/platform:gameboy/sort:-critic_score/page:4/
