folder	key	title	critic	user	release	developer	publisher	critic_sources	user_sources
gba	shining soul ii	Shining Soul II	7.8	7.7	2004-04-20	Grasshopper Manufacture	Sega	Metacritic=7.4; GameRankings (n=14)=7.9; MobyGames (n=5)=7.7	Metacritic users=8.1; GameFAQs community=7.7; LaunchBox community Bayesian (raw 7.2, n=54)=7.2; Legacy community=7.7
gba	shonen jump s one piece	Shonen Jump's One Piece	7.2	6.9	2005			GameRankings (n=5)=7.2	GameFAQs community=6.9
gba	shonen jump s shaman king legacy of the spirits soaring hawk	Shonen Jump's Shaman King: Legacy of the Spirits — Soaring Hawk	5.9	6.9	2005-02-08	Konami Computer Entertainment Japan	Konami	Metacritic=5.9; GameRankings (n=13)=5.9	Metacritic users=7.8; GameFAQs community=6.0; LaunchBox community Bayesian (raw 6.7, n=25)=6.8; Legacy community=6.9
gba	shonen jump s shaman king legacy of the spirits sprinting wolf	Shonen Jump's Shaman King: Legacy of the Spirits — Sprinting Wolf	5.9	6.9	2005-02-08	Konami Computer Entertainment Japan	Konami	Metacritic=6.0; GameRankings (n=13)=5.9	GameFAQs community=6.5; LaunchBox community Bayesian (raw 7.4, n=34)=7.3; LaunchBox Community=6.9
gba	shonen jump s shaman king master of spirits	Shonen Jump's Shaman King: Master of Spirits		7.2	2004-11-09	Konami Computer Entertainment Japan	Konami		LaunchBox community Bayesian (raw 7.3, n=50)=7.2; LaunchBox Community=7.2
gba	shonen jump s shaman king master of spirits 2	Shonen Jump's Shaman King: Master of Spirits 2		8.3	2005-08-02	Konami Computer Entertainment Japan	Konami		LaunchBox community Bayesian (raw 8.6, n=40)=8.3; LaunchBox Community=8.3
gba	shrek 2	Shrek 2	7.3	6.5	2004-04-28	Vicarious Visions	Activision	Metacritic=7.2; GameRankings (n=9)=7.3	Metacritic users=5.9; GameFAQs community=6.7; LaunchBox community Bayesian (raw 6.8, n=29)=6.9; Legacy community=6.5
gba	shrek 2 beg for mercy	Shrek 2: Beg for Mercy!	5.4	7.0	2004-10-27	Vicarious Visions	Activision	GameRankings (n=4)=5.5; MobyGames (n=5)=5.3	GameFAQs community=7.1; LaunchBox community Bayesian (raw 6.9, n=20)=6.9; LaunchBox Community=7.0
gba	shrek hassle at the castle	Shrek: Hassle at the Castle	6.9	6.7	2002-10-10	TOSE	TDK Mediactive	Metacritic=7.1; GameRankings (n=6)=6.8	Metacritic users=6.9; GameFAQs community=6.6; LaunchBox community Bayesian (raw 6.4, n=21)=6.6; Legacy community=6.7
gba	shrek reekin havoc	Shrek: Reekin' Havoc	5.3	6.0	2003-07-30	TOSE	TDK Mediactive	Metacritic=5.7; GameRankings (n=12)=5.2	GameFAQs community=5.9; LaunchBox community Bayesian (raw 5.7, n=21)=6.1; LaunchBox Community=6.0
gba	shrek super slam	Shrek Super Slam		6.0	2005-10-25	Amaze Entertainment	Activision		LaunchBox community Bayesian (raw 5.6, n=24)=6.0; LaunchBox Community=6.0
gba	shrek swamp kart speedway	Shrek: Swamp Kart Speedway	3.0	5.4	2002-03-19	Prolific	TDK Mediactive	GameRankings (n=5)=2.6; MobyGames (n=5)=3.4	GameFAQs community=5.0; LaunchBox community Bayesian (raw 5.2, n=29)=5.7; LaunchBox Community=5.4
gba	sigma star saga	Sigma Star Saga	6.7	8.2	2005-08-16	WayForward Technologies	Atari	Metacritic=6.8; GameRankings (n=42)=6.7	Metacritic users=9.3; GameFAQs community=7.3; LaunchBox community Bayesian (raw 8.3, n=61)=8.1; Legacy community=8.2
gba	silent scope	Silent Scope	7.5	6.5	2002-09-04	Now Production	Konami	GameRankings (n=6)=7.5	GameFAQs community=6.3; LaunchBox community Bayesian (raw 6.6, n=31)=6.7; LaunchBox Community=6.5
gba	sim city 2000	Sim City 2000	5.8	6.6	2003-11-13	Maxis	Destination Software	Metacritic=6.2; MobyGames (n=5)=5.7	Metacritic users=7.1; LaunchBox community Bayesian (raw 5.7, n=33)=6.0; Legacy community=6.6
gba	sitting ducks	Sitting Ducks	3.9	5.8	2004-06-30	Light & Shadow Production	Hip Interactive	GameRankings (n=4)=3.9	GameFAQs community=5.8; LaunchBox community Bayesian (raw 5.4, n=26)=5.8
gba	sky dancers they magically fly	Sky Dancers: They Magically Fly!
gba	smashing drive	Smashing Drive	6.0	6.4	2004-11-03	Raylight Studios	Destination Software	GameRankings (n=4)=6.0	GameFAQs community=6.6; LaunchBox community Bayesian (raw 6.0, n=26)=6.3; LaunchBox Community=6.4
gba	smuggler s run	Smuggler's Run	3.9	6.4	2002-09-25	Rebellion Developments	Destination Software	GameRankings (n=4)=3.9; MobyGames (n=5)=4.0	GameFAQs community=5.9; LaunchBox community Bayesian (raw 6.8, n=25)=6.9; LaunchBox Community=6.4
gba	snood	Snood	5.9	6.4	2001-09-28	Rebellion Developments	Destination Software	GameRankings (n=7)=5.7; MobyGames (n=5)=6.1	GameFAQs community=6.3; LaunchBox community Bayesian (raw 6.2, n=31)=6.4; LaunchBox Community=6.4
gba	snood 2 snoods on vacation	Snood 2: Snoods on Vacation
gba	soccer kid	Soccer Kid	5.8	4.9	2002-09-30	Telegames	Telegames	GameRankings (n=4)=5.8	GameFAQs community=4.3; LaunchBox community Bayesian (raw 4.8, n=22)=5.5; LaunchBox Community=4.9
gba	sonic advance	Sonic Advance	8.3	7.7	2002-02-03	Sonic Team	Sega	Metacritic=8.7; GameRankings (n=36)=8.3; MobyGames (n=5)=8.1	Metacritic users=7.9; GameFAQs community=7.4; LaunchBox community Bayesian (raw 7.9, n=229)=7.9; Legacy community=7.7
gba	sonic advance 3	Sonic Advance 3	8.1	7.8	2004-06-07	Sonic Team	Sega	Metacritic=7.9; GameRankings (n=30)=8.1; MobyGames (n=5)=7.8	Metacritic users=7.8; GameFAQs community=7.6; LaunchBox community Bayesian (raw 8.1, n=157)=8.0
gba	sonic battle	Sonic Battle	6.9	7.4	2004-01-05	Sonic Team	Sega	Metacritic=6.9; GameRankings (n=33)=6.9	Metacritic users=7.9; GameFAQs community=7.4; LaunchBox community Bayesian (raw 6.9, n=100)=6.9; Legacy community=7.4
gba	sonic pinball party	Sonic Pinball Party	7.8	6.7	2003-06-01	Sonic Team	Sega	Metacritic=7.7; GameRankings (n=16)=7.9; MobyGames (n=5)=7.5	Metacritic users=6.1; GameFAQs community=6.7; LaunchBox community Bayesian (raw 7.2, n=70)=7.2; Legacy community=6.7
gba	sonic x volume 1	Sonic X: Volume 1
gba	space channel 5 ulala s cosmic atta	Space Channel 5: Ulala's Cosmic Atta	5.9					GameRankings (n=19)=5.9
gba	space invaders	Space Invaders	7.5	7.3	2002-03-19	Torus Games	Activision	GameRankings (n=5)=7.6; MobyGames (n=5)=7.4	GameFAQs community=7.4; LaunchBox community Bayesian (raw 7.3, n=41)=7.2
gba	space twins	Space Twins
gba	spider man	Spider-Man	7.7	7.4	2002-04-16	Digital Eclipse Software	Activision Publishing	GameRankings (n=18)=7.8; MobyGames (n=5)=7.6	GameFAQs community=7.1; LaunchBox community Bayesian (raw 7.7, n=61)=7.6; LaunchBox Community=7.4
gba	spider man mysterio s menace	Spider-Man: Mysterio's Menace	8.0	7.5	2001-09-19	Vicarious Visions	Activision	Metacritic=8.4; GameRankings (n=20)=8.0; MobyGames (n=5)=7.8	Metacritic users=8.0; GameFAQs community=7.3; LaunchBox community Bayesian (raw 7.2, n=57)=7.2; Legacy community=7.5
gba	spider man the movie	Spider-Man: The Movie
gba	spirit stallion of the cimarron	Spirit: Stallion of the Cimarron	4.2	3.9	2002	Hyperspace Cowgirls		GameRankings (n=3)=4.6; MobyGames (n=5)=3.9	GameFAQs community=3.9
gba	spirits and spells	Spirits & Spells		6.3					GameFAQs community=6.3
gba	spongebob squarepants battle for bi	SpongeBob SquarePants: Battle for Bi
gba	spongebob squarepants creature from	SpongeBob SquarePants: Creature From
gba	spongebob squarepants lights camer	SpongeBob SquarePants: Lights. Camer
gba	spongebob squarepants revenge of th	SpongeBob SquarePants: Revenge of Th
gba	spongebob squarepants supersponge	SpongeBob SquarePants: SuperSponge	6.1	6.4	2001-11-05	The Climax Group	THQ	GameRankings (n=4)=6.8; MobyGames (n=5)=5.6	GameFAQs community=5.9; LaunchBox community Bayesian (raw 6.9, n=33)=6.9; LaunchBox Community=6.4
gba	spongebob squarepants the movie	SpongeBob SquarePants: The Movie
gba	spongebob squarepants volume 1	SpongeBob SquarePants: Volume 1
gba	spongebob squarepants volume 2	SpongeBob SquarePants: Volume 2
gba	spongebob squarepants volume 3	SpongeBob SquarePants: Volume 3
gba	sports illustrated for kids baseball	Sports Illustrated for Kids: Baseball	4.5	5.9	2001-09-02	Sennari Interactive	BAM! Entertainment	GameRankings (n=4)=4.5	GameFAQs community=5.5; LaunchBox community Bayesian (raw 5.6, n=16)=6.1; LaunchBox Community=5.9
gba	sports illustrated for kids football	Sports Illustrated for Kids: Football	4.3	5.4	2003-08-31	Sennari Interactive	BAM! Entertainment	GameRankings (n=3)=4.3	GameFAQs community=5.2; LaunchBox community Bayesian (raw 5.0, n=20)=5.7; LaunchBox Community=5.4
gba	spy hunter	Spy Hunter	6.9	6.6	2002-05-14	Midway Games	Midway Home Entertainment	Metacritic=6.4; GameRankings (n=17)=6.9	GameFAQs community=7.3; LaunchBox community Bayesian (raw 5.7, n=34)=6.0; LaunchBox Community=6.6
gba	spy kids 3 d game over	Spy Kids 3-D: Game Over	5.5	4.8	2003-06-30	InLight Entertainment	Disney Interactive	GameRankings (n=3)=5.5	GameFAQs community=5.3; LaunchBox community Bayesian (raw 3.3, n=24)=4.4; LaunchBox Community=4.8
gba	spy kids challenger	Spy Kids Challenger		5.5	2002-08-21	Game Titan	Disney Interactive Studios		GameFAQs community=5.3; LaunchBox community Bayesian (raw 5.0, n=18)=5.7; LaunchBox Community=5.5
gba	spy muppets license to croak	Spy Muppets: License to Croak
gba	spyro 2 season of flame	Spyro 2: Season of Flame	7.7	7.1	2002-09-24	Digital Eclipse Software	Universal Interactive	Metacritic=7.6; GameRankings (n=21)=7.7; MobyGames (n=5)=7.6	Metacritic users=6.9; GameFAQs community=7.0; LaunchBox community Bayesian (raw 7.3, n=60)=7.3; Legacy community=7.1
gba	spyro attack of the rhynocs	Spyro: Attack of the Rhynocs	7.4	7.2	2003-10-27	Digital Eclipse Software	Universal Interactive	Metacritic=7.2; GameRankings (n=12)=7.5	Metacritic users=6.5; GameFAQs community=7.4; LaunchBox community Bayesian (raw 7.9, n=48)=7.7; Legacy community=7.2
gba	spyro orange the cortex conspiracy	Spyro Orange: The Cortex Conspiracy	5.9	5.8	2004-06-03	Vicarious Visions	Vivendi Universal Games	Metacritic=6.0; GameRankings (n=24)=5.9; MobyGames (n=5)=6.1	Metacritic users=5.0; GameFAQs community=5.7; LaunchBox community Bayesian (raw 6.8, n=50)=6.8; Legacy community=5.8
gba	spyro season of ice	Spyro: Season of Ice	7.2	6.9	2001-11-07	Digital Eclipse Software	Konami	Metacritic=7.4; GameRankings (n=23)=7.2	Metacritic users=6.8; GameFAQs community=6.4; LaunchBox community Bayesian (raw 7.4, n=69)=7.3; Legacy community=6.9
gba	srs street racing syndicate	SRS: Street Racing Syndicate	4.8	6.8	2005			GameRankings (n=4)=4.8	GameFAQs community=6.8
gba	ssx 3	SSX 3	5.8	6.0	2003-11-11	Visual Impact	Electronic Arts	Metacritic=6.3; GameRankings (n=12)=5.7	GameFAQs community=6.2; LaunchBox community Bayesian (raw 5.4, n=27)=5.8; LaunchBox Community=6.0
gba	ssx tricky	SSX Tricky	6.5	6.0	2002-10-31	Visual Impact	Electronic Arts	Metacritic=6.6; GameRankings (n=11)=6.5	GameFAQs community=5.8; LaunchBox community Bayesian (raw 5.8, n=29)=6.1; LaunchBox Community=6.0
gba	stadium games	Stadium Games		4.7	2004-11-03	Ignition Entertainment	Crave Entertainment		GameFAQs community=5.3; LaunchBox community Bayesian (raw 2.7, n=18)=4.2; LaunchBox Community=4.7
gba	star wars episode ii attack of th	Star Wars: Episode II: Attack of Th
gba	star wars episode iii revenge of th	Star Wars Episode III: Revenge of th	7.1					GameRankings (n=17)=7.1
gba	star wars flight of the falcon	Star Wars: Flight of the Falcon	4.0	5.3	2003-11-18	Pocket Studios	THQ	Metacritic=3.9; GameRankings (n=14)=4.1; MobyGames (n=5)=3.6	GameFAQs community=5.0; LaunchBox community Bayesian (raw 5.3, n=38)=5.7
gba	star wars jedi power battles	Star Wars: Jedi Power Battles	5.7	5.1	2001-12-04	HotGen Studios	THQ	Metacritic=5.8; GameRankings (n=14)=5.7	Metacritic users=4.4; GameFAQs community=5.6; LaunchBox community Bayesian (raw 5.0, n=40)=5.4; Legacy community=5.1
gba	star wars the new droid army	Star Wars: The New Droid Army	5.8	6.2	2002-11-14	Helixe	THQ	Metacritic=6.0; GameRankings (n=12)=5.9; MobyGames (n=5)=5.5	GameFAQs community=5.9; LaunchBox community Bayesian (raw 6.4, n=43)=6.5; LaunchBox Community=6.2
gba	star wars trilogy apprentice of the force	Star Wars Trilogy: Apprentice of the Force	6.4	6.9	2004-09-21	Ubisoft Entertainment	Ubisoft Entertainment	Metacritic=6.0; GameRankings (n=25)=6.5; MobyGames (n=5)=5.9	Metacritic users=6.8; GameFAQs community=6.5; LaunchBox community Bayesian (raw 7.4, n=59)=7.3; Legacy community=6.9
gba	star x	Star X	6.0	6.2	2002-04-17	Graphic State	BAM! Entertainment	Metacritic=6.0; GameRankings (n=13)=6.1; MobyGames (n=5)=5.8	Metacritic users=8.5; GameFAQs community=4.5; LaunchBox community Bayesian (raw 5.3, n=32)=5.7; Legacy community=6.2
gba	starsky and hutch	Starsky & Hutch		5.9					GameFAQs community=5.9
gba	strawberry shortcake summertime adv	Strawberry Shortcake: Summertime Adv
gba	strawberry shortcake sweet dreams	Strawberry Shortcake: Sweet Dreams		4.7	2006-09-19	Gorilla Systems	Majesco Entertainment		GameFAQs community=4.2; LaunchBox community Bayesian (raw 3.0, n=8)=5.2; LaunchBox Community=4.7
gba	strawberry shortcake volume 1	Strawberry Shortcake: Volume 1
gba	street fighter alpha 3	Street Fighter Alpha 3	8.3	7.4	2002-12-01	Crawfish Interactive	Capcom	Metacritic=8.3; GameRankings (n=22)=8.4; MobyGames (n=5)=8.2	GameFAQs community=7.7; LaunchBox community Bayesian (raw 7.2, n=76)=7.2; LaunchBox Community=7.4
gba	street jam basketball	Street Jam Basketball	3.8	5.7	2004-04-25	Prograph Research	DSI Games	Metacritic=3.5; GameRankings (n=5)=3.8	GameFAQs community=4.8; LaunchBox community Bayesian (raw 6.3, n=19)=6.5; LaunchBox Community=5.7
gba	strike force hydra	Strike Force Hydra		5.8	2004-09-22	Awesome Developments	Ignition Entertainment		GameFAQs community=5.6; LaunchBox community Bayesian (raw 5.6, n=24)=6.0; LaunchBox Community=5.8
gba	stuart little 2	Stuart Little 2	6.3	6.5	2002-07-12	Creations	Activision	Metacritic=5.9; GameRankings (n=9)=6.3	Metacritic users=7.1; GameFAQs community=6.2; LaunchBox community Bayesian (raw 5.9, n=18)=6.3; Legacy community=6.5
gba	stuntman	Stuntman	7.1	5.8	2003-06-24	Velez & Dubail	Atari	Metacritic=7.7; GameRankings (n=13)=6.9; MobyGames (n=5)=7.6	Metacritic users=6.0; GameFAQs community=6.2; LaunchBox community Bayesian (raw 4.4, n=29)=5.1; Legacy community=5.8
gba	sudoku fever	Sudoku Fever
gba	summon night	Summon Night
gba	summon night swordcraft story	Summon Night: Swordcraft Story	7.7	7.9	2006-07-26	Flight-Plan	Atlus	Metacritic=7.7; GameRankings (n=22)=7.7; MobyGames (n=5)=7.7	Metacritic users=7.9; GameFAQs community=8.1; LaunchBox community Bayesian (raw 7.9, n=64)=7.8
gba	super army war	Super Army War	6.3	6.6	2005-02-22	Neko Entertainment	Atlus	Metacritic=5.8; GameRankings (n=8)=6.4	GameFAQs community=6.7; LaunchBox community Bayesian (raw 6.3, n=28)=6.5; LaunchBox Community=6.6
gba	super bubble pop	Super Bubble Pop	6.3	5.9	2003-01-03	Runecraft	Jaleco Entertainment	GameRankings (n=5)=6.3	GameFAQs community=6.0; LaunchBox community Bayesian (raw 5.2, n=20)=5.8; LaunchBox Community=5.9
gba	super bust a move	Super Bust-A-Move	7.4	6.4	2001-11-27	Altron	Taito	Metacritic=7.7; GameRankings (n=11)=7.3; MobyGames (n=5)=7.5	GameFAQs community=6.3; LaunchBox community Bayesian (raw 6.3, n=41)=6.4; LaunchBox Community=6.4
gba	super collapse ii	Super Collapse! II		6.6	2004-03-05	pixelStorm entertainment studios	Majesco Sales		GameFAQs community=6.5; LaunchBox community Bayesian (raw 6.6, n=21)=6.7
gba	super dodgeball advance	Super Dodgeball Advance	7.9	7.5	2001-06-10	Million	Atlus	Metacritic=7.9	LaunchBox community Bayesian (raw 7.6, n=54)=7.5; LaunchBox Community=7.5
gba	super duper sumos	Super Duper Sumos	5.1	4.7	2003-10-26	Handheld Games	Midway Home Entertainment	GameRankings (n=4)=5.1	GameFAQs community=4.3; LaunchBox community Bayesian (raw 4.1, n=22)=5.0; LaunchBox Community=4.7
gba	super ghouls n ghosts	Super Ghouls 'n Ghosts	8.0	7.8	2002-09-23	Capcom	Capcom	Metacritic=7.8; GameRankings (n=24)=8.0; MobyGames (n=5)=8.0	Metacritic users=8.1; GameFAQs community=7.3; LaunchBox community Bayesian (raw 8.1, n=80)=8.0; Legacy community=7.8
gba	super hornet fa 18f	Super Hornet FA 18F		5.4	2004-11-16	UK Magic	Majesco Sales		LaunchBox community Bayesian (raw 4.5, n=18)=5.4; LaunchBox Community=5.4
gba	super mario advance	Super Mario Advance	8.2	7.7	2001-06-10	Nintendo R&D2	Nintendo	Metacritic=8.4; GameRankings (n=44)=8.2; MobyGames (n=5)=8.3	Metacritic users=7.7; GameFAQs community=7.6; LaunchBox community Bayesian (raw 7.8, n=184)=7.8
gba	super mario advance 2 super mario w	Super Mario Advance 2: Super Mario W
gba	super mario advance 2 super mario world	Super Mario Advance 2: Super Mario World		8.8	2002-02-11	Nintendo	Nintendo		LaunchBox community Bayesian (raw 8.9, n=215)=8.8; LaunchBox Community=8.8
gba	super mario advance 3 yoshi s islan	Super Mario Advance 3: Yoshi's Islan
gba	super mario advance 3 yoshi s island	Super Mario Advance 3: Yoshi's Island		8.5	2002-09-20	Nintendo R&D2	Nintendo		LaunchBox community Bayesian (raw 8.6, n=174)=8.5; LaunchBox Community=8.5
gba	super mario advance 4 super mario b	Super Mario Advance 4: Super Mario B	9.2					GameRankings (n=37)=9.2
gba	super mario advance 4 super mario bros 3	Super Mario Advance 4: Super Mario Bros. 3	9.2	8.6	2003-10-21	Nintendo EAD	Nintendo	Metacritic=9.4; GameRankings (n=37)=9.2; MobyGames (n=5)=8.9	Metacritic users=8.6; GameFAQs community=8.5; LaunchBox community Bayesian (raw 8.9, n=226)=8.8
gba	super monkey ball jr	Super Monkey Ball Jr	7.9	7.1	2002-11-19	Software Creations	THQ	Metacritic=8.2; GameRankings (n=34)=7.9; MobyGames (n=5)=7.9	Metacritic users=7.0; GameFAQs community=6.4; LaunchBox community Bayesian (raw 8.0, n=60)=7.9; Legacy community=7.1
gba	super puzzle fighter ii turbo	Super Puzzle Fighter II Turbo	8.2	6.6	2003-03-31	Capcom Co., Ltd.	Capcom	Metacritic=8.3 (n=22) | MobyGames=7.9 (n=5 min)	Metacritic users=6.6
gba	super robot monkey team volume 1	Super Robot Monkey Team: Volume 1
gba	super robot taisen original generatio	Super Robot Taisen Original Generatio
gba	super robot taisen original generation	Super Robot Taisen: Original Generation	7.2	7.1	2006-08-08	Banpresto	Atlus	Metacritic=7.2; GameRankings (n=19)=7.2; MobyGames (n=5)=7.4	Metacritic users=6.6; GameFAQs community=8.1; LaunchBox community Bayesian (raw 6.7, n=39)=6.8; Legacy community=7.1
gba	super robot taisen r	Super Robot Taisen R		7.5	2002-08-02	A.I	Banpresto		GameFAQs community=7.8; LaunchBox community Bayesian (raw 7.5, n=6)=7.2
gba	super street fighter ii turbo revival	Super Street Fighter II Turbo: Revival	8.3	7.5	2001-10-30	Capcom Production Studio 3	Capcom	Metacritic=8.4; GameRankings (n=29)=8.3; MobyGames (n=5)=8.1	Metacritic users=7.2; GameFAQs community=7.7; LaunchBox community Bayesian (raw 7.7, n=83)=7.6; Legacy community=7.5
gba	superman countdown to apokolips	Superman: Countdown to Apokolips		6.1	2003-03-26	Mistic Software	Atari		GameFAQs community=5.8; LaunchBox community Bayesian (raw 6.1, n=25)=6.4
gba	sword of mana	Sword of Mana	7.1	7.6	2003-12-01	Brownie Brown	Nintendo	Metacritic=7.2; GameRankings (n=35)=7.0	Metacritic users=8.4; GameFAQs community=7.3; LaunchBox community Bayesian (raw 7.2, n=106)=7.2; Legacy community=7.6
gba	tactics ogre the knight of lodis	Tactics Ogre: The Knight of Lodis	8.4	8.2	2002-05-11	Quest	Nintendo	Metacritic=8.8; GameRankings (n=26)=8.4; MobyGames (n=5)=8.8	Metacritic users=8.4; GameFAQs community=8.2; LaunchBox community Bayesian (raw 8.0, n=84)=7.9; Legacy community=8.2
gba	tak 2 the staff of dreams	Tak 2: The Staff of Dreams	5.6	5.9	2004-10-11	Helixe	THQ	GameRankings (n=7)=5.6	GameFAQs community=5.6; LaunchBox community Bayesian (raw 6.0, n=27)=6.3; LaunchBox Community=5.9
gba	tak and the power of juju	Tak and the Power of Juju	6.3	6.5	2003-10-15	Helixe	THQ	Metacritic=7.9; GameRankings (n=21)=6.3	Metacritic users=7.2; GameFAQs community=5.7; LaunchBox community Bayesian (raw 6.6, n=32)=6.7; Legacy community=6.5
gba	tak the great juju challenge	Tak: The Great Juju Challenge	6.1	5.8	2005-09-19	WayForward Technologies	THQ	GameRankings (n=4)=6.1	GameFAQs community=5.4; LaunchBox community Bayesian (raw 5.9, n=26)=6.2; LaunchBox Community=5.8
gba	tales of phantasia	Tales of Phantasia	7.3	7.6	2006-03-06	Namco Tales Studio	Namco	Metacritic=7.6; GameRankings (n=32)=7.3	Metacritic users=8.0; GameFAQs community=7.6; LaunchBox community Bayesian (raw 7.3, n=57)=7.3
gba	tang tang	Tang Tang	5.7	5.5	2001-08-28	GameVision	Take-Two Interactive Software	Metacritic=5.6; GameRankings (n=11)=5.7	GameFAQs community=6.1; LaunchBox community Bayesian (raw 4.2, n=31)=4.9; LaunchBox Community=5.5
gba	teen titans	Teen Titans	6.0	7.2	2005-10-16	Artificial Mind & Movement	Majesco Entertainment	Metacritic=6.1; GameRankings (n=10)=6.0	Metacritic users=7.5; GameFAQs community=7.2; LaunchBox community Bayesian (raw 7.0, n=37)=7.0
gba	teen titans 2 the brotherhood s rev	Teen Titans 2: The Brotherhood's Rev
gba	teenage mutant ninja turtles	Teenage Mutant Ninja Turtles	7.0	7.7	2003-10-21	Konami	Konami	GameRankings (n=21)=7.0	GameFAQs community=7.4; LaunchBox community Bayesian (raw 8.0, n=77)=7.9; LaunchBox Community=7.7
gba	teenage mutant ninja turtles 2 batt	Teenage Mutant Ninja Turtles 2: Batt
gba	teenage mutant ninja turtles 2 battle nexus	Teenage Mutant Ninja Turtles 2: Battle Nexus	6.2	7.8	2004-10-19	Konami	Konami	Metacritic=6.5; GameRankings (n=13)=6.1	Metacritic users=8.8; GameFAQs community=7.4; LaunchBox community Bayesian (raw 7.3, n=65)=7.3; Legacy community=7.8
gba	teenage mutant ninja turtles double p	Teenage Mutant Ninja Turtles Double P
gba	teenage mutant ninja turtles volume	Teenage Mutant Ninja Turtles: Volume
gba	tekken advance	Tekken Advance	8.0	7.4	2002-01-28	Eighting	Namco	Metacritic=8.2; GameRankings (n=24)=7.9; MobyGames (n=5)=8.2	Metacritic users=7.7; GameFAQs community=7.1; LaunchBox community Bayesian (raw 7.5, n=68)=7.4; Legacy community=7.4
gba	ten pin alley 2	Ten Pin Alley 2		5.4	2004-04-26	Pronto Games	XS Games		GameFAQs community=5.3; LaunchBox community Bayesian (raw 4.7, n=24)=5.4; LaunchBox Community=5.4
gba	terminator 3 rise of the machines	Terminator 3: Rise of the Machines	5.0	5.0	2003-11-18	Taniko	Atari	Metacritic=5.0; GameRankings (n=18)=4.9; MobyGames (n=5)=5.3	GameFAQs community=4.4; LaunchBox community Bayesian (raw 4.9, n=29)=5.4; LaunchBox Community=5.0
gba	tetris worlds	Tetris Worlds	6.5	7.1	2001-09-05	3d6 Games	THQ	Metacritic=6.5; GameRankings (n=18)=6.5	Metacritic users=7.6; GameFAQs community=6.9; LaunchBox community Bayesian (raw 6.9, n=50)=6.9; Legacy community=7.1
gba	texas hold em poker	Texas Hold 'Em Poker	5.2	5.3	2004-11-01	Skyworks Technologies	Majesco Sales	GameRankings (n=4)=5.2	GameFAQs community=5.2; LaunchBox community Bayesian (raw 4.7, n=23)=5.4; LaunchBox Community=5.3
gba	the amazing virtual sea monkeys	The Amazing Virtual Sea Monkeys		4.0	2002-01-01	ELO Interactive Media	Conspiracy Entertainment		GameFAQs community=2.8; LaunchBox community Bayesian (raw 4.6, n=29)=5.2; LaunchBox Community=4.0
gba	the ant bully	The Ant Bully	5.6	5.7	2006-07-24	Artificial Mind & Movement	Midway Home Entertainment	GameRankings (n=4)=5.6	GameFAQs community=4.8; LaunchBox community Bayesian (raw 6.4, n=27)=6.6; LaunchBox Community=5.7
gba	the barbie diaries high school mys	The Barbie Diaries: High School Mys
gba	the berenstain bears and the spooky old tree	The Berenstain Bears and the Spooky Old Tree		6.3	2005-09-20	Program Ace	Namco Hometek		GameFAQs community=6.0; LaunchBox community Bayesian (raw 6.2, n=17)=6.5; LaunchBox Community=6.3
gba	the bible game	The Bible Game		5.5	2005-10-25	Alpine Studios	Crave Entertainment		GameFAQs community=5.0; LaunchBox community Bayesian (raw 5.4, n=23)=5.9; LaunchBox Community=5.5
gba	the cheetah girls	The Cheetah Girls		4.9	2006-09-26	Gorilla Systems	Buena Vista Games		GameFAQs community=4.1; LaunchBox community Bayesian (raw 5.0, n=17)=5.7; LaunchBox Community=4.9
gba	the chronicles of narnia	The Chronicles of Narnia
gba	the fairly odd parents breakin d	The Fairly Odd Parents!: Breakin' d
gba	the fairly odd parents clash with	The Fairly Odd Parents!: Clash With
gba	the fairly odd parents enter the	The Fairly Odd Parents!: Enter the
gba	the fairly odd parents shadow sho	The Fairly Odd Parents!: Shadow Sho
gba	the fairly odd parents volume 1	The Fairly Odd Parents!: Volume 1
gba	the fairly odd parents volume 2	The Fairly Odd Parents!: Volume 2
gba	the flintstones big trouble in bed	The Flintstones: Big Trouble in Bed
gba	the hobbit	The Hobbit
gba	the incredible hulk	The Incredible Hulk	5.8	5.9	2003-05-27	Pocket Studios	Universal Interactive	Metacritic=5.7; GameRankings (n=22)=5.7; MobyGames (n=5)=6.0	Metacritic users=6.2; GameFAQs community=5.6; LaunchBox community Bayesian (raw 5.4, n=35)=5.8; Legacy community=5.9
gba	the incredibles	The Incredibles	5.3	6.3	2004-11-01	Helixe	THQ	GameRankings (n=16)=5.3; MobyGames (n=5)=5.5	LaunchBox community Bayesian (raw 6.2, n=45)=6.3; LaunchBox Community=6.3
gba	the incredibles rise of the underm	The Incredibles: Rise of the Underm
gba	the invincible iron man	The Invincible Iron Man
gba	the king of fighters ex neoblood	The King of Fighters EX: NeoBlood	7.7	7.8	2002-12-31	Artoon	Marvelous Entertainment	Metacritic=8.0; MobyGames (n=5)=7.6	LaunchBox community Bayesian (raw 7.9, n=52)=7.8; LaunchBox Community=7.8
gba	the king of fighters ex2 howling b	The King of Fighters EX2: Howling B
gba	the koala brothers outback adventu	The Koala Brothers: Outback Adventu
gba	the land before time	The Land Before Time		5.7					GameFAQs community=5.7; Legacy community=5.7
gba	the land before time into the myst	The Land Before Time: Into the Myst
gba	the legend of spyro a new beginnin	The Legend of Spyro: A New Beginnin
gba	the legend of zelda a link to the	The Legend of Zelda: A Link To The
