folder	key	title	critic	user	release	developer	publisher	critic_sources	user_sources
gamegear	asterix and the great rescue	Asterix and the Great Rescue	6.7	6.5	1994-01-01	Core Design	Sega of America	MobyGames (n=5)=6.7	GameFAQs community=5.3; LaunchBox community Bayesian (raw 7.7, n=44)=7.6; LaunchBox Community=6.5
gamegear	ayrton senna s super monaco gp 2	Ayrton Senna's Super Monaco GP 2	6.8	6.2	1992-08-28	Sega Enterprises	Sega Enterprises	MobyGames (n=5)=6.8	LaunchBox community Bayesian (raw 6.0, n=41)=6.2; LaunchBox Community=6.2
gamegear	baku baku animals	Baku Baku Animals
gamegear	baseball 91	Baseball '91
gamegear	batman forever	Batman Forever	5.2	5.1	1995-09-07	Probe Entertainment	Acclaim Entertainment	MobyGames (n=5)=5.2	GameFAQs community=3.1; LaunchBox community Bayesian (raw 7.0, n=52)=7.0; LaunchBox Community=5.1
gamegear	batter up	Batter Up	6.7	6.1	1991-04-05	Namco	Namco	MobyGames (n=5)=6.7	GameFAQs community=5.8; LaunchBox community Bayesian (raw 6.2, n=26)=6.4; LaunchBox Community=6.1
gamegear	battleship	Battleship		5.5					GameFAQs community=5.5
gamegear	battletoads	Battletoads	6.8	7.0	1993-12-01	Rare	Tradewest	MobyGames (n=5)=6.8	GameFAQs community=6.3; LaunchBox community Bayesian (raw 7.7, n=70)=7.6; LaunchBox Community=7.0
gamegear	beavis and butt head	Beavis and Butt-Head		4.6	1994-01-01	NuFX	Viacom New Media		GameFAQs community=3.7; LaunchBox community Bayesian (raw 5.0, n=35)=5.4; LaunchBox Community=4.6
gamegear	berenstain bears camping adventure	Berenstain Bears: Camping Adventure		6.0	1994-10-01	Realtime Associates	Sega of America		GameFAQs community=6.0; LaunchBox community Bayesian (raw 5.6, n=33)=5.9
gamegear	bonkers wax up	Bonkers Wax Up!		5.9	1995-01-01	Al Baker & Associates	Sega of America		LaunchBox community Bayesian (raw 5.7, n=42)=5.9; LaunchBox Community=5.9
gamegear	bram stoker s dracula	Bram Stoker's Dracula	8.0	4.6	1993-08-01	Probe Software	Sony Imagesoft	MobyGames (n=5)=8.0	GameFAQs community=2.3; LaunchBox community Bayesian (raw 6.9, n=36)=6.9; LaunchBox Community=4.6
gamegear	bubble bobble	Bubble Bobble		8.0	1994-01-01	Taito	Taito America		GameFAQs community=8.1; LaunchBox community Bayesian (raw 8.3, n=35)=8.0; LaunchBox Community=8.0
gamegear	bugs bunny in double trouble	Bugs Bunny in Double Trouble		6.2	1996-07-01	Probe Entertainment	Sega Enterprises		GameFAQs community=5.2; LaunchBox community Bayesian (raw 7.2, n=45)=7.2; LaunchBox Community=6.2
gamegear	bust a move	Bust-A-Move		8.0	1995-01-01	Santos	Taito		GameFAQs community=8.3; LaunchBox community Bayesian (raw 8.1, n=40)=7.9; LaunchBox Community=8.0
gamegear	caesar s palace	Caesar's Palace	4.8	6.7	1994-03-01	Teeny Weeny Games	Virgin Games	MobyGames (n=5)=4.8	LaunchBox community Bayesian (raw 6.5, n=23)=6.7; LaunchBox Community=6.7
gamegear	captain america and the avengers	Captain America and the Avengers		6.4	1993-01-01	Realtime Associates	Mindscape		GameFAQs community=5.2; LaunchBox community Bayesian (raw 7.7, n=55)=7.6; LaunchBox Community=6.4
gamegear	chakan	Chakan		6.4	1992-12-19	Sega of America	Sega of America		GameFAQs community=6.1; LaunchBox community Bayesian (raw 6.8, n=47)=6.8; LaunchBox Community=6.4
gamegear	chase h q	Chase H.Q.	7.2	6.5	1991-03-08	Taito	Taito	MobyGames (n=5)=7.2	GameFAQs community=6.2; LaunchBox community Bayesian (raw 6.8, n=30)=6.8; LaunchBox Community=6.5
gamegear	chessmaster	Chessmaster	7.9	5.4	1991-12-01	The Software Toolworks	Sega of America	MobyGames (n=5)=7.9	GameFAQs community=5.0; LaunchBox community Bayesian (raw 5.5, n=34)=5.8; Legacy community=5.4
gamegear	chicago syndicate	Chicago Syndicate		5.2	1995-01-01	Climax Group	Sega of America		GameFAQs community=4.6; LaunchBox community Bayesian (raw 5.3, n=34)=5.7; LaunchBox Community=5.2
gamegear	choplifter 3	Choplifter 3
gamegear	chuck rock	Chuck Rock	6.4	6.1	1992-09-01	Core Design	Sega of America	MobyGames (n=5)=6.4	GameFAQs community=5.8; LaunchBox community Bayesian (raw 6.3, n=43)=6.4; LaunchBox Community=6.1
gamegear	chuck rock 2	Chuck Rock 2
gamegear	cliffhanger	Cliffhanger		3.9	1993-12-01	Spidersoft	Sony Imagesoft		GameFAQs community=2.5; LaunchBox community Bayesian (raw 4.7, n=29)=5.3; LaunchBox Community=3.9
gamegear	clutch hitter	Clutch Hitter		5.2	1991-12-01	Sega Enterprises	Sega Enterprises		GameFAQs community=4.7; LaunchBox community Bayesian (raw 5.0, n=22)=5.6; LaunchBox Community=5.2
gamegear	coca cola kid	Coca Cola Kid
gamegear	columns	Columns	7.6	7.3	1990-10-06	Sega Enterprises	Sega of America	MobyGames (n=5)=7.6	GameFAQs community=7.4; LaunchBox community Bayesian (raw 7.2, n=64)=7.2; LaunchBox Community=7.3
gamegear	cool spot	Cool Spot	8.3	7.0	1993-01-01	Virgin Games	Virgin Games	MobyGames (n=5)=8.3	GameFAQs community=6.4; LaunchBox community Bayesian (raw 7.7, n=46)=7.6; LaunchBox Community=7.0
gamegear	crystal warriors	Crystal Warriors	7.8	7.0	1991-12-13	Sega Enterprises	Sega of America	MobyGames (n=5)=7.8	GameFAQs community=7.2; LaunchBox community Bayesian (raw 6.7, n=56)=6.7; LaunchBox Community=7.0
gamegear	daffy duck in hollywood	Daffy Duck in Hollywood	6.6	5.9	1994-01-01	Probe Software	Sega Enterprises	MobyGames (n=5)=6.6	GameFAQs community=5.7; LaunchBox community Bayesian (raw 5.7, n=34)=6.0; LaunchBox Community=5.9
gamegear	defenders of oasis	Defenders of Oasis	7.8	7.2	1992-09-18	Sega Enterprises	Sega of America	MobyGames (n=5)=7.8	GameFAQs community=7.7; LaunchBox community Bayesian (raw 6.8, n=60)=6.8; LaunchBox Community=7.2
gamegear	desert speedtrap	Desert Speedtrap
gamegear	desert strike return to the gulf	Desert Strike: Return to the Gulf	7.8	7.2	1994-01-01	Tiertex	Domark	MobyGames (n=5)=7.8	GameFAQs community=7.0; LaunchBox community Bayesian (raw 7.4, n=37)=7.3; LaunchBox Community=7.2
gamegear	devilish	Devilish	7.3	6.3	1991-03-29	Opera House	Sega	MobyGames (n=5)=7.3	GameFAQs community=5.8; LaunchBox community Bayesian (raw 6.9, n=50)=6.9; LaunchBox Community=6.3
gamegear	double dragon	Double Dragon	5.5	5.8	1993-01-01	Virgin Interactive Entertainment	Virgin Games	MobyGames (n=5)=5.5	GameFAQs community=4.8; LaunchBox community Bayesian (raw 6.6, n=49)=6.7; LaunchBox Community=5.8
gamegear	dr robotnik s mean bean machine	Dr. Robotnik's Mean Bean Machine	8.4	7.3	1993-12-01	Compile	Sega of America	MobyGames (n=5)=8.4	GameFAQs community=7.1; LaunchBox community Bayesian (raw 7.6, n=57)=7.5; LaunchBox Community=7.3
gamegear	dragon crystal	Dragon Crystal	7.0	6.4	1990-12-22	Sega Enterprises	Sega of America	MobyGames (n=5)=7.0	GameFAQs community=6.4; LaunchBox community Bayesian (raw 6.3, n=59)=6.4; LaunchBox Community=6.4
gamegear	dragon the bruce lee story	Dragon: The Bruce Lee Story	5.9	5.7	1994-01-01	Virgin Interactive Entertainment	Acclaim Entertainment	MobyGames (n=5)=5.9	GameFAQs community=3.9; LaunchBox community Bayesian (raw 7.6, n=23)=7.4; LaunchBox Community=5.7
gamegear	drop zone	Drop Zone	7.1		1994	Arena Graphics		MobyGames (n=5)=7.1
gamegear	dynamite headdy	Dynamite Headdy	7.7	6.3	1994-08-05	Minato Giken	Sega Enterprises	MobyGames (n=5)=7.7	GameFAQs community=5.4; LaunchBox community Bayesian (raw 7.2, n=45)=7.2; LaunchBox Community=6.3
gamegear	earthworm jim	Earthworm Jim	7.4	6.8	1995-09-21	Eurocom Entertainment Software	Playmates Interactive Entertainment	MobyGames (n=5)=7.4	GameFAQs community=6.2; LaunchBox community Bayesian (raw 7.6, n=38)=7.5; LaunchBox Community=6.8
gamegear	ecco the dolphin	Ecco the Dolphin	8.4	6.3	1994-03-11	Novotrade Software	Sega of America	MobyGames (n=5)=8.4	GameFAQs community=6.1; LaunchBox community Bayesian (raw 6.4, n=40)=6.5; LaunchBox Community=6.3
gamegear	ecco the dolphin 2 the tides of time	Ecco the Dolphin 2: The Tides of Time
gamegear	ernie els golf	Ernie Els Golf	8.4	5.5	1994-07-01	Codemasters	Codemasters	MobyGames (n=5)=8.4	GameFAQs community=4.9; LaunchBox community Bayesian (raw 5.6, n=21)=6.1; LaunchBox Community=5.5
gamegear	evander holyfield s boxing	Evander Holyfield's Boxing
gamegear	excellent dizzy	Excellent Dizzy
gamegear	excellent dizzy collection	Excellent Dizzy Collection		6.5	1994-04-01	Interactive Studios	Codemasters		GameFAQs community=5.7; LaunchBox community Bayesian (raw 7.4, n=29)=7.3; Legacy community=6.4
gamegear	f 15 strike eagle	F-15 Strike Eagle		5.7	1993-01-01	NMS Software	MicroProse Software		GameFAQs community=6.0; LaunchBox community Bayesian (raw 5.1, n=31)=5.6; LaunchBox Community=5.7
gamegear	faceball 2000	Faceball 2000		5.8	1993-12-17	Xanth Software F/X	Riverhill Soft		GameFAQs community=5.2; LaunchBox community Bayesian (raw 6.1, n=19)=6.4; LaunchBox Community=5.8
