folder	key	title	score	reviews	year	id	link
windows	system shock 2	System Shock 2	92	36	1999	185706	http://www.gamerankings.com/pc/185706-system-shock-2/index.html
windows	system shock enhanced edition	System Shock: Enhanced Edition	82.25	8	2015	181826	http://www.gamerankings.com/pc/181826-system-shock-enhanced-edition/index.html
windows	t 72 balkans on fire	T-72: Balkans on Fire	73.29	7	2005	928653	http://www.gamerankings.com/pc/928653-t-72-balkans-on-fire/index.html
windows	tabula rasa	Tabula Rasa	78.3	33	2007	516716	http://www.gamerankings.com/pc/516716-tabula-rasa/index.html
windows	tachyon the fringe	Tachyon: The Fringe	77.54	24	2000	250555	http://www.gamerankings.com/pc/250555-tachyon-the-fringe/index.html
windows	tacoma	Tacoma	78.61	32	2017	100019	http://www.gamerankings.com/pc/100019-tacoma/index.html
windows	tactical intervention	Tactical Intervention	46.75	4	2013	984908	http://www.gamerankings.com/pc/984908-tactical-intervention/index.html
windows	tactical ops assault on terror	Tactical Ops: Assault on Terror	57.17	18	2002	552473	http://www.gamerankings.com/pc/552473-tactical-ops-assault-on-terror/index.html
windows	taito legends	Taito Legends	75.17	6	2005	929579	http://www.gamerankings.com/pc/929579-taito-legends/index.html
windows	taito legends 2	Taito Legends 2	78.33	3	2007	930756	http://www.gamerankings.com/pc/930756-taito-legends-2/index.html
windows	take command 2nd manassas	Take Command: 2nd Manassas	76.7	20	2006	930657	http://www.gamerankings.com/pc/930657-take-command-2nd-manassas/index.html
windows	takeda	Takeda	62.33	12	2001	543013	http://www.gamerankings.com/pc/543013-takeda/index.html
windows	takeda 2	Takeda 2	56	3	2006	925198	http://www.gamerankings.com/pc/925198-takeda-2/index.html
windows	takedown red sabre	Takedown: Red Sabre	32.7	10	2013	666384	http://www.gamerankings.com/pc/666384-takedown-red-sabre/index.html
windows	tales from space mutant blobs attack	Tales From Space: Mutant Blobs Attack	84	5	2012	680262	http://www.gamerankings.com/pc/680262-tales-from-space-mutant-blobs-attack/index.html
windows	tales from the borderlands a telltale game series	Tales from the Borderlands: A Telltale Game Series	87.71	14	2015	133185	http://www.gamerankings.com/pc/133185-tales-from-the-borderlands-a-telltale-game-series/index.html
windows	tales from the borderlands episode 1 zer0 sum	Tales From The Borderlands: Episode 1 - Zer0 Sum	86.17	30	2014	739851	http://www.gamerankings.com/pc/739851-tales-from-the-borderlands-episode-1-zer0-sum/index.html
windows	tales from the borderlands episode 2 atlas mugged	Tales From The Borderlands: Episode 2 - Atlas Mugged	80.54	24	2015	133193	http://www.gamerankings.com/pc/133193-/index.html
windows	tales from the borderlands episode 3 catch a ride	Tales From The Borderlands: Episode 3 - Catch A Ride	82.95	19	2015	167285	http://www.gamerankings.com/pc/167285-/index.html
windows	tales from the borderlands episode 4 escape plan bravo	Tales From The Borderlands: Episode 4 - Escape Plan Bravo	80.82	17	2015	179816	http://www.gamerankings.com/pc/179816-/index.html
windows	tales from the borderlands episode 5 the vault of the traveler	Tales From The Borderlands: Episode 5 - The Vault of the Traveler	88.65	20	2015	181895	http://www.gamerankings.com/pc/181895-/index.html
windows	tales of berseria	Tales of Berseria	84.13	8	2017	184665	http://www.gamerankings.com/pc/184665-tales-of-berseria/index.html
windows	tales of monkey island	Tales of Monkey Island	86.75	4	2009	982223	http://www.gamerankings.com/pc/982223-tales-of-monkey-island/index.html
windows	tales of monkey island chapter 1 launch of the screaming narwhal	Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal	80.47	44	2009	960379	http://www.gamerankings.com/pc/960379-/index.html
windows	tales of monkey island chapter 2 the siege of spinner cay	Tales of Monkey Island Chapter 2: The Siege of Spinner Cay	79.38	32	2009	961258	http://www.gamerankings.com/pc/961258-/index.html
windows	tales of monkey island chapter 3 lair of the leviathan	Tales of Monkey Island Chapter 3: Lair of the Leviathan	83.9	29	2009	961260	http://www.gamerankings.com/pc/961260-/index.html
windows	tales of monkey island chapter 4 the trial and execution of guybrush threepwood	Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood	82.46	26	2009	961262	http://www.gamerankings.com/pc/961262-/index.html
windows	tales of monkey island chapter 5 rise of the pirate god	Tales of Monkey Island Chapter 5: Rise of the Pirate God	82.45	32	2009	961265	http://www.gamerankings.com/pc/961265-/index.html
windows	tanglewood	Tanglewood	79.67	6	2018	241858	http://www.gamerankings.com/pc/241858-tanglewood/index.html
windows	tank operations european campaign	Tank Operations: European Campaign	59.67	3	2013	738552	http://www.gamerankings.com/pc/738552-tank-operations-european-campaign/index.html
windows	tank racer	Tank Racer	56.33	3	1999	577418	http://www.gamerankings.com/pc/577418-tank-racer/index.html
windows	tank universal challenger eight	Tank Universal: Challenger Eight	72.25	12	2008	946798	http://www.gamerankings.com/pc/946798-tank-universal-challenger-eight/index.html
windows	tanktics	Tanktics	51.43	7	1999	198889	http://www.gamerankings.com/pc/198889-tanktics/index.html
windows	tannenberg	Tannenberg	72.88	8	2017	210431	http://www.gamerankings.com/pc/210431-tannenberg/index.html
windows	tarr chronicles	Tarr Chronicles	61.92	12	2007	939960	http://www.gamerankings.com/pc/939960-tarr-chronicles/index.html
windows	tartarus	TARTARUS	62	4	2017	208470	http://www.gamerankings.com/pc/208470-tartarus/index.html
windows	tastee lethal tactics	TASTEE: Lethal Tactics	73.8	10	2016	158284	http://www.gamerankings.com/pc/158284-tastee-lethal-tactics/index.html
windows	taz wanted	Taz Wanted	62.83	6	2002	544828	http://www.gamerankings.com/pc/544828-taz-wanted/index.html
windows	team apache	Team Apache	82.1	10	1998	198895	http://www.gamerankings.com/pc/198895-team-apache/index.html
windows	team fortress 2	Team Fortress 2	92.6	15	2007	437678	http://www.gamerankings.com/pc/437678-team-fortress-2/index.html
windows	team fortress classic	Team Fortress Classic	85.43	7	1999	562917	http://www.gamerankings.com/pc/562917-team-fortress-classic/index.html
windows	tech support error unknown	Tech Support: Error Unknown	67.8	5	2019	232847	http://www.gamerankings.com/pc/232847-tech-support-error-unknown/index.html
windows	technobabylon	Technobabylon	81.44	16	2015	112288	http://www.gamerankings.com/pc/112288-technobabylon/index.html
windows	teenage mutant ninja turtles	Teenage Mutant Ninja Turtles (2003)	54.67	12	2003	589462	http://www.gamerankings.com/pc/589462-teenage-mutant-ninja-turtles-2003/index.html
windows	teenage mutant ninja turtles 2 battle nexus	Teenage Mutant Ninja Turtles 2: Battle Nexus	40.83	6	2004	920741	http://www.gamerankings.com/pc/920741-teenage-mutant-ninja-turtles-2-battle-nexus/index.html
windows	tekken 7	Tekken 7	83.21	12	2017	191536	http://www.gamerankings.com/pc/191536-tekken-7/index.html
windows	teleglitch	Teleglitch	83.8	5	2012	693265	http://www.gamerankings.com/pc/693265-teleglitch/index.html
windows	teleglitch die more edition	Teleglitch: Die More Edition	75.85	13	2013	725657	http://www.gamerankings.com/pc/725657-teleglitch-die-more-edition/index.html
windows	telling lies	Telling Lies	82.21	19	2019	261016	http://www.gamerankings.com/pc/261016-telling-lies/index.html
windows	tembo the badass elephant	Tembo the Badass Elephant	63.8	5	2015	134514	http://www.gamerankings.com/pc/134514-tembo-the-badass-elephant/index.html
windows	tempest	Tempest (2015)	60	4	2016	183811	http://www.gamerankings.com/pc/183811-tempest-2015/index.html
windows	temujin the capricorn collection	Temujin: The Capricorn Collection	43.67	3	1997	198906	http://www.gamerankings.com/pc/198906-temujin-the-capricorn-collection/index.html
windows	tender loving care	Tender Loving Care	74.67	3	1999	567485	http://www.gamerankings.com/pc/567485-tender-loving-care/index.html
windows	tennis masters series	Tennis Masters Series	72.2	10	2001	474063	http://www.gamerankings.com/pc/474063-tennis-masters-series/index.html
windows	tennis masters series 2003	Tennis Masters Series 2003	74.33	3	2003	915438	http://www.gamerankings.com/pc/915438-tennis-masters-series-2003/index.html
windows	tenshu general	Tenshu General	56.67	3	2013	730079	http://www.gamerankings.com/pc/730079-tenshu-general/index.html
windows	tera	TERA	76.3	23	2012	978283	http://www.gamerankings.com/pc/978283-tera/index.html
windows	terminator 3 war of the machines	Terminator 3: War of the Machines	27.67	9	2003	915258	http://www.gamerankings.com/pc/915258-terminator-3-war-of-the-machines/index.html
windows	terminator salvation	Terminator Salvation	47.89	9	2009	944031	http://www.gamerankings.com/pc/944031-terminator-salvation/index.html
windows	terminus	Terminus	72.38	16	2000	258044	http://www.gamerankings.com/pc/258044-terminus/index.html
windows	terra nova strike force centauri	Terra Nova: Strike Force Centauri	85.67	3	1996	198916	http://www.gamerankings.com/pc/198916-terra-nova-strike-force-centauri/index.html
windows	terraria	Terraria	83.87	15	2011	630609	http://www.gamerankings.com/pc/630609-terraria/index.html
windows	terrawars new york invasion	Terrawars: New York Invasion	25.37	8	2006	931642	http://www.gamerankings.com/pc/931642-terrawars-new-york-invasion/index.html
windows	terrian saga kr 17	Terrian Saga: KR-17	82.5	4	2014	814537	http://www.gamerankings.com/pc/814537-terrian-saga-kr-17/index.html
windows	terror strike	Terror Strike	50	3	2007	941413	http://www.gamerankings.com/pc/941413-terror-strike/index.html
windows	terrorist takedown	Terrorist Takedown	48.17	6	2004	922159	http://www.gamerankings.com/pc/922159-terrorist-takedown/index.html
windows	tesla effect a tex murphy adventure	Tesla Effect: A Tex Murphy Adventure	69.25	20	2014	729535	http://www.gamerankings.com/pc/729535-tesla-effect-a-tex-murphy-adventure/index.html
windows	tesla vs lovecraft	Tesla vs Lovecraft	70.89	9	2018	204386	http://www.gamerankings.com/pc/204386-tesla-vs-lovecraft/index.html
windows	teslagrad	Teslagrad	78	5	2013	717638	http://www.gamerankings.com/pc/717638-teslagrad/index.html
windows	test drive	Test Drive	59.25	4	2002	582863	http://www.gamerankings.com/pc/582863-test-drive/index.html
windows	test drive 5	Test Drive 5	61.07	15	1998	198921	http://www.gamerankings.com/pc/198921-test-drive-5/index.html
windows	test drive 6	Test Drive 6	49.37	16	1999	198923	http://www.gamerankings.com/pc/198923-test-drive-6/index.html
windows	test drive le mans	Test Drive Le Mans	68.05	21	2000	198929	http://www.gamerankings.com/pc/198929-test-drive-le-mans/index.html
windows	test drive off road 2	Test Drive: Off-Road 2	49.69	13	1998	96164	http://www.gamerankings.com/pc/96164-test-drive-off-road-2/index.html
windows	test drive off road 3	Test Drive: Off-Road 3	56.17	6	1999	198936	http://www.gamerankings.com/pc/198936-test-drive-off-road-3/index.html
windows	test drive unlimited	Test Drive Unlimited	80.17	21	2007	932277	http://www.gamerankings.com/pc/932277-test-drive-unlimited/index.html
windows	test drive unlimited 2	Test Drive Unlimited 2	74.5	8	2011	990994	http://www.gamerankings.com/pc/990994-test-drive-unlimited-2/index.html
windows	tetris effect	Tetris Effect	90.4	5	2019	269516	http://www.gamerankings.com/pc/269516-tetris-effect/index.html
windows	tetris worlds	Tetris Worlds	64.25	4	2001	539982	http://www.gamerankings.com/pc/539982-tetris-worlds/index.html
windows	tetrobot and co	Tetrobot and Co.	70	3	2013	725467	http://www.gamerankings.com/pc/725467-tetrobot-and-co/index.html
windows	tex murphy overseer	Tex Murphy: Overseer	81.6	5	1998	198947	http://www.gamerankings.com/pc/198947-tex-murphy-overseer/index.html
windows	thandor the invasion	Thandor: The Invasion	52.86	7	2000	445141	http://www.gamerankings.com/pc/445141-thandor-the-invasion/index.html
windows	tharsis	Tharsis	62.66	16	2016	180626	http://www.gamerankings.com/pc/180626-tharsis/index.html
windows	that dragon cancer	That Dragon, Cancer	80.42	26	2016	719850	http://www.gamerankings.com/pc/719850-that-dragon-cancer/index.html
windows	the 100 000 pyramid	The $100,000 Pyramid	75.25	6	2001	476944	http://www.gamerankings.com/pc/476944-the-100000-pyramid/index.html
windows	the 11th hour	The 11th Hour	63.2	5	1995	198948	http://www.gamerankings.com/pc/198948-the-11th-hour/index.html
windows	the 7th guest	The 7th Guest	60	3	1993	524290	http://www.gamerankings.com/pc/524290-the-7th-guest/index.html
windows	the adventure pals	The Adventure Pals	83.33	3	2018	216225	http://www.gamerankings.com/pc/216225-the-adventure-pals/index.html
windows	the age of decadence	The Age of Decadence	72.86	7	2015	714550	http://www.gamerankings.com/pc/714550-the-age-of-decadence/index.html
windows	the amazing spider man 2	The Amazing Spider-Man 2	58.75	4	2014	736161	http://www.gamerankings.com/pc/736161-the-amazing-spider-man-2/index.html
windows	the amazing virtual sea monkeys	The Amazing Virtual Sea-Monkeys	55.03	10	2002	581193	http://www.gamerankings.com/pc/581193-the-amazing-virtual-sea-monkeys/index.html
windows	the ant bully	The Ant Bully	47.57	7	2006	932204	http://www.gamerankings.com/pc/932204-the-ant-bully/index.html
windows	the apprentice	The Apprentice	22	3	2006	928403	http://www.gamerankings.com/pc/928403-the-apprentice/index.html
windows	the aquatic adventure of the last human	The Aquatic Adventure of the Last Human	79.38	8	2016	184975	http://www.gamerankings.com/pc/184975-the-aquatic-adventure-of-the-last-human/index.html
windows	the arrival	The Arrival	62.75	4	1997	198950	http://www.gamerankings.com/pc/198950-the-arrival/index.html
windows	the assembly	The Assembly	57.22	9	2016	805898	http://www.gamerankings.com/pc/805898-the-assembly/index.html
windows	the asskickers	The Asskickers	27.86	7	2011	637284	http://www.gamerankings.com/pc/637284-the-asskickers/index.html
windows	the awesome adventures of captain spirit	The Awesome Adventures of Captain Spirit	88.25	4	2018	241011	http://www.gamerankings.com/pc/241011-the-awesome-adventures-of-captain-spirit/index.html
windows	the ball	The Ball	73.83	18	2010	605849	http://www.gamerankings.com/pc/605849-the-ball/index.html
windows	the banner saga	The Banner Saga	80.57	47	2014	744852	http://www.gamerankings.com/pc/744852-the-banner-saga/index.html
windows	the banner saga 2	The Banner Saga 2	83.39	36	2016	100020	http://www.gamerankings.com/pc/100020-the-banner-saga-2/index.html
windows	the banner saga 3	The Banner Saga 3	82.96	23	2018	231369	http://www.gamerankings.com/pc/231369-the-banner-saga-3/index.html
windows	the banner saga factions	The Banner Saga: Factions	66.75	4	2013	665338	http://www.gamerankings.com/pc/665338-the-banner-saga-factions/index.html
windows	the bard s tale	The Bard's Tale	68	12	2005	919036	http://www.gamerankings.com/pc/919036-the-bards-tale/index.html
windows	the bard s tale iv barrows deep	The Bard's Tale IV: Barrows Deep	71.31	18	2018	164610	http://www.gamerankings.com/pc/164610-the-bards-tale-iv-barrows-deep/index.html
windows	the beast within a gabriel knight mystery	The Beast Within: A Gabriel Knight Mystery	90.5	6	1995	198951	http://www.gamerankings.com/pc/198951-the-beast-within-a-gabriel-knight-mystery/index.html
windows	the beginner s guide	The Beginner's Guide	79	19	2015	181716	http://www.gamerankings.com/pc/181716-the-beginners-guide/index.html
windows	the binding of isaac	The Binding of Isaac	84.23	22	2011	636662	http://www.gamerankings.com/pc/636662-the-binding-of-isaac/index.html
windows	the binding of isaac afterbirth	The Binding of Isaac: Afterbirth	91.25	4	2015	182784	http://www.gamerankings.com/pc/182784-the-binding-of-isaac-afterbirth/index.html
windows	the binding of isaac rebirth	The Binding of Isaac: Rebirth	90.2	5	2014	692703	http://www.gamerankings.com/pc/692703-the-binding-of-isaac-rebirth/index.html
windows	the black mirror	The Black Mirror	60.76	25	2003	917983	http://www.gamerankings.com/pc/917983-the-black-mirror/index.html
windows	the blackout club	The Blackout Club	59.29	7	2019	234058	http://www.gamerankings.com/pc/234058-the-blackout-club/index.html
windows	the blackwell bundle	The Blackwell Bundle	81	3	2009	977140	http://www.gamerankings.com/pc/977140-the-blackwell-bundle/index.html
windows	the blackwell convergence	The Blackwell Convergence	76.25	4	2009	971347	http://www.gamerankings.com/pc/971347-the-blackwell-convergence/index.html
