company	asset	source	games
Visual Concepts Entertainment	visual-concepts-entertainment.png	typographic	10
American Sammy	american-sammy.png	typographic	10
MicroProse Software	microprose-software.png	typographic	10
Hasbro Interactive	hasbro-interactive.png	typographic	10
Pax Softnica	pax-softnica.png	typographic	10
NMS Software	nms-software.png	typographic	10
Tarantula Studios	tarantula-studios.png	typographic	10
David A. Palmer Productions	david-a-palmer-productions.png	typographic	10
Full Fat Productions	full-fat-productions.png	typographic	10
Universal Interactive	universal-interactive.png	typographic	10
Handheld Games	handheld-games.png	typographic	10
Arena Entertainment	arena-entertainment.png	typographic	10
SIMS	sims.png	typographic	10
Rockstar Games	rockstar-games.png	simple-icons:rockstargames	9
ASCII	ascii.png	typographic	9
Ocean of America	ocean-of-america.png	typographic	9
Argonaut Games	argonaut-games.png	typographic	9
Gremlin Graphics Software	gremlin-graphics-software.png	typographic	9
Quest	quest.png	simple-icons:quest	9
Atari Games	atari-games.png	typographic	9
Opera House	opera-house.png	typographic	9
Camelot Software Planning	camelot-software-planning.png	typographic	9
Milton Bradley	milton-bradley.png	typographic	9
Fuzhou Waixing Computer Science & Technology	fuzhou-waixing-computer-science-technology.png	typographic	9
Hummer Team	hummer-team.png	typographic	9
Artificial Mind & Movement	artificial-mind-movement.png	typographic	9
Konami Computer Entertainment Japan	konami-computer-entertainment-japan.png	typographic	9
Square Enix	square-enix.png	simple-icons:squareenix	8
Gray Matter	gray-matter.png	typographic	8
Starfish	starfish.png	typographic	8
LucasArts	lucasarts.png	typographic	8
Bitmasters	bitmasters.png	typographic	8
Arc System Works	arc-system-works.png	typographic	8
Factor 5	factor-5.png	typographic	8
NuFX	nufx.png	typographic	8
Al Baker & Associates	al-baker-associates.png	typographic	8
Mass Media	mass-media.png	typographic	8
Take-Two Interactive Software	take-two-interactive-software.png	simple-icons:taketwointeractivesoftware	8
Midway Games	midway-games.png	typographic	8
Data East USA	data-east-usa.png	typographic	8
Thin Chen Enterprise	thin-chen-enterprise.png	typographic	8
Gamtec	gamtec.png	typographic	8
Novotrade Software	novotrade-software.png	typographic	8
Konami Computer Entertainment Nagoya	konami-computer-entertainment-nagoya.png	typographic	8
DC Studios	dc-studios.png	typographic	8
Metro3D	metro3d.png	typographic	8
Telenet Japan	telenet-japan.png	typographic	8
Ballistic	ballistic.png	typographic	8
Sony Computer Entertainment Europe	sony-computer-entertainment-europe.png	typographic	7
Fox Interactive	fox-interactive.png	typographic	7
MotiveTime	motivetime.png	typographic	7
JVC Musical Industries	jvc-musical-industries.png	typographic	7
Spectrum Holobyte	spectrum-holobyte.png	typographic	7
Victor Interactive Software	victor-interactive-software.png	typographic	7
Asmik Corporation of America	asmik-corporation-of-america.png	typographic	7
Leland Interactive Media	leland-interactive-media.png	typographic	7
Chunsoft	chunsoft.png	typographic	7
Rage Software	rage-software.png	typographic	7
Domark Software	domark-software.png	typographic	7
Visual Concepts	visual-concepts.png	typographic	7
Traveller's Tales (UK)	traveller-s-tales-uk.png	typographic	7
Data Design Interactive	data-design-interactive.png	typographic	7
ITL	itl.png	typographic	7
TechnoSoft	technosoft.png	typographic	7
Sofel	sofel.png	typographic	7
Paradigm Entertainment	paradigm-entertainment.png	typographic	7
Lego Media	lego-media.png	typographic	7
Infogrames Europe	infogrames-europe.png	typographic	7
Tantalus Interactive	tantalus-interactive.png	typographic	7
Romstar	romstar.png	typographic	7
Eastridge Technology	eastridge-technology.png	typographic	7
Character Soft	character-soft.png	typographic	7
Minakuchi Engineering	minakuchi-engineering.png	typographic	7
Visual Impact	visual-impact.png	typographic	7
Pocket Studios	pocket-studios.png	typographic	7
Helixe	helixe.png	typographic	7
RFX Interactive	rfx-interactive.png	typographic	7
Virtucraft	virtucraft.png	typographic	7
Rebellion Developments	rebellion-developments.png	typographic	7
Mattel Interactive	mattel-interactive.png	typographic	7
Sony Computer Entertainment	sony-computer-entertainment.png	simple-icons:playstation	6
Quintet	quintet.png	typographic	6
DTMC	dtmc.png	typographic	6
Jorudan	jorudan.png	typographic	6
Epoch	epoch.png	typographic	6
Sammy	sammy.png	typographic	6
A.I	a-i.png	typographic	6
Interplay Entertainment	interplay-entertainment.png	typographic	6
Kaneko	kaneko.png	typographic	6
Squaresoft	squaresoft.png	typographic	6
Williams Entertainment	williams-entertainment.png	typographic	6
The Sales Curve	the-sales-curve.png	typographic	6
MindSpan	mindspan.png	typographic	6
BITS	bits.png	typographic	6
Enigma Variations	enigma-variations.png	typographic	6
Bits Studios	bits-studios.png	typographic	6
Westwood Studios	westwood-studios.png	typographic	6
Copya System	copya-system.png	typographic	6
Pack-In-Video	pack-in-video.png	typographic	6
Origin Systems	origin-systems.png	typographic	6
LucasArts Entertainment	lucasarts-entertainment.png	typographic	6
T&E Soft	t-e-soft.png	typographic	6
Avalanche Software	avalanche-software.png	typographic	6
Budcat Creations	budcat-creations.png	typographic	6
Winky Soft	winky-soft.png	typographic	6
Pixel	pixel.png	typographic	6
Bunch Games	bunch-games.png	typographic	6
American Game Cartridges	american-game-cartridges.png	typographic	6
Banpresto	banpresto.png	typographic	6
Joy Van	joy-van.png	typographic	6
Codemasters Software	codemasters-software.png	typographic	6
Sigma Enterprises	sigma-enterprises.png	typographic	6
ToaPlan	toaplan.png	typographic	6
Graphic Research	graphic-research.png	typographic	6
Jupiter	jupiter.png	typographic	6
Unexpected Development	unexpected-development.png	typographic	6
Velez & Dubail	velez-dubail.png	typographic	6
Möbius Entertainment	mobius-entertainment.png	typographic	6
DreamCatcher Interactive	dreamcatcher-interactive.png	typographic	6
3d6 Games	3d6-games.png	typographic	6
Skyworks Technologies	skyworks-technologies.png	typographic	6
Mistic Software	mistic-software.png	typographic	6
Fluid Studios	fluid-studios.png	typographic	6
Disney Interactive	disney-interactive.png	typographic	6
Xantera	xantera.png	typographic	6
Domark	domark.png	typographic	6
Treco	treco.png	typographic	6
Nihon Bussan	nihon-bussan.png	typographic	5
Equilibrium	equilibrium.png	typographic	5
Victor Musical Industries	victor-musical-industries.png	typographic	5
Playmates Interactive Entertainment	playmates-interactive-entertainment.png	typographic	5
Sting	sting.png	typographic	5
Vivid Image	vivid-image.png	typographic	5
The Bitmap Brothers	the-bitmap-brothers.png	typographic	5
